rank	kind	score	domain	title	region	protocol	freshness	auth	reuse_pattern	score_src	path
346	new	11	energy	BC Hydro / Hydro-Québec — Canadian Provincial Utilities	British Columbia and Quebec, Canada	Web portals with some JSON endpoints	5-15 minutes (real-time dashboards)	None for public dashboards		total	tools/candidates/energy/bc-hydro-hq.md
347	new	11	energy	COES — Comité de Operación Económica del Sistema (Peru)	Peru	Web portal with embedded charts and file downloads	Hourly (generation), daily (prices)	None for public data		total	tools/candidates/energy/coes-peru.md
348	new	11	energy	EPIAS/EXIST Transparency Platform (Turkey)	Turkey	REST	Hourly (market data), 15 minutes (generation)	None for public data (some endpoints may require registration)		total	tools/candidates/energy/epias-exist-turkey.md
349	new	11	energy	NLDC/Grid-India — National Load Despatch Centre (India)	India (national grid)	REST / file downloads	5-15 minutes (dashboard), daily (reports)	None for public dashboards		total	tools/candidates/energy/nldc-india.md
350	new	11	energy	NOAA VIIRS Nightfire - Iraq Gas Flaring	Global (Iraq is #2 worldwide for gas flaring after Russia)	HTTP file server (CSV downloads)	Daily (one global file per day)	Required (OpenID Connect, free registration)		explicit	tools/candidates/energy/iq-noaa-viirs-gas-flaring.md
351	new	11	ev-charging	GoingElectric Stromtankstellen API	Europe (focus on Germany/DACH, but covers all of Europe)	REST	Community-contributed updates (continuous but crowdsourced)	API Key (free registration required)		total	tools/candidates/ev-charging/goingelectric.md
352	new	11	hydrology	Mekong River Commission — Hydrological Monitoring (Update)	Mekong Basin (Cambodia, Laos, Thailand, Vietnam; China, Myanmar as dialogue partners)	Angular SPA with backend API	Daily water level observations; hourly during floods	Unknown (SPA-gated)		total	tools/candidates/hydrology/mekong-river-commission-update.md
353	new	11	hydrology	Nile Basin Water Monitoring	Nile Basin (Egypt, Sudan, South Sudan, Ethiopia, Uganda, Kenya, Tanzania, Rwanda, Burundi, DRC, Eritrea)	REST	Daily to weekly	Varies		explicit	tools/candidates/hydrology/nile-basin-water-monitoring.md
354	new	11	hydrology	South Korea K-water / Water Information Portal	South Korea	Web portal with Ajax endpoints	Real-time (10-minute to hourly)	Session-based (portal login for full access)		total	tools/candidates/hydrology/south-korea-kwater.md
355	new	11	imagery	INPE Amazonia-1 / CBERS-4A (Brazil-China Earth Resources Satellite)	Global (Brazil-China partnership, South America priority)	HTTP download, WMS/WFS (TerraBrasilis integration)	Days to weeks (operational missions, catalog updates lag)	Free registration required		explicit	tools/candidates/imagery/spaceother-inpe-amazonia1-cbers.md
356	new	11	imagery	Sentinel Hub STAC API (Commercial Free Tier)	Global (Sinergise / Planet Labs)	STAC 1.0.0	Hours (Sentinel-2 L1C ~2-4h, L2A ~6-12h, Sentinel-1 GRD ~6-12h)	OAuth2 (free tier: 30,000 processing units/month)		explicit	tools/candidates/imagery/spaceother-sentinel-hub-stac.md
357	new	11	maritime-ais	AISHub Kuwait / Persian Gulf AIS Vessel Tracking	Kuwait waters (Persian/Arabian Gulf)	REST / HTTP JSON	Real-time (updates every few seconds to minutes per vessel)	Free API key (username) required, registration at aishub.net		explicit	tools/candidates/maritime-ais/kw-aishub-kuwait-ais.md
358	new	11	oceans	EUMETSAT Sentinel-3 Marine Products (OLCI/SLSTR)	Global (polar orbit coverage)	REST API, FTP, OData	Near-real-time (~3 hours), daily composites	Free registration (EUMETSAT / Copernicus)		explicit	tools/candidates/oceans/eumetsat-sentinel3-marine-olci-slstr.md
359	new	11	power-outages	Eskom Loadshedding Status API	South Africa	REST (HTTP GET)	Real-time (updates within minutes of stage changes)	None		explicit	tools/candidates/power-outages/eskom-loadshedding-api.md
360	new	11	power-outages	PowerOutage.us	United States	Web (HTML/JavaScript) — data scraped from 1000+ utility outage maps	Near real-time (aggregates utility outage data every few minutes)	N/A (no public API)		total	tools/candidates/power-outages/poweroutage-us.md
361	new	11	radiation	ARPANSA — Australian Environmental Radiation Monitoring	Australia	CKAN REST (data.gov.au) for UV data; web portal for ionizing radiation	UV data: 1-minute resolution, published yearly; ionizing radiation: real-time on website (if accessible)	None for data.gov.au		total	tools/candidates/radiation/arpansa-australia.md
362	new	11	radiation	Czech Republic SURO / MonRaS	Czech Republic	Web portal (MonRaS); data shared via EURDEP	Continuous (Early Warning Network)	None (public portal)		total	tools/candidates/radiation/suro-czech.md
363	new	11	reservoir-dam	Lake Victoria Water Levels	East Africa (Kenya, Uganda, Tanzania)	REST / File download	Daily to weekly (satellite revisit cycle)	Varies (some open, some require registration)		explicit	tools/candidates/reservoir-dam/lake-victoria-levels.md
364	new	11	reservoir-dam	Portugal SNIRH — Dam and Reservoir Data	Portugal (~60 major dams + hundreds of smaller dams)	Web portal; some WMS/WFS geospatial services	Near real-time for telemetric stations; daily for some; monthly for others	None for public access (some data requires free registration)		total	tools/candidates/reservoir-dam/portugal-snirh.md
365	new	11	tidal-sea-level	India INCOIS — Indian National Centre for Ocean Information Services	India (Indian Ocean)	Web portal (HTML); data services via web applications	Real-time for tsunami alerts; hourly-daily for ocean observations	Registration for some data products		total	tools/candidates/tidal-sea-level/incois-india-ocean.md
366	new	11	water-quality	UK Environment Agency — Water Quality Explorer	United Kingdom (England)	REST (Linked Data API); Web application	Varies — discrete sampling results uploaded after lab analysis (days to weeks); some continuous monitoring	None		total	tools/candidates/water-quality/uk-ea-water-quality.md
367	new	11	weather	EUMETSAT Metop IASI Hyperspectral Sounder	Global (polar orbit coverage)	NetCDF, HDF5, BUFR download	Near-real-time (~3 hours global, ~30-90 min EARS regional)	Free EUMETSAT registration		explicit	tools/candidates/weather/eumetsat-metop-iasi-hyperspectral-sounder.md
368	new	11	weather	IMD (India Meteorological Department)	India	Web portal + file downloads + some RSS feeds	3-hourly synoptic observations, daily gridded products	Registration required for data portal access		total	tools/candidates/weather/imd-india.md
369	new	11	weather	INPE CPTEC — Satellite Imagery and Weather Forecasting	Brazil (national; South America coverage)	HTTP/FTP (file-based)	Sub-hourly (satellite imagery every 10-15 minutes)	None		total	tools/candidates/weather/inpe-cptec-satellite.md
370	new	11	weather	RainViewer Global Radar (Qatar Coverage)	Global (Qatar coverage via Middle East radar mosaic)	REST / JSON (manifest) → tile CDN	New radar frames every 10 minutes; 2-hour past archive available	None		explicit	tools/candidates/weather/qa-rainviewer-radar.md
371	new	11	weather	Veðurstofa Íslands (Icelandic Met Office)	Iceland	XML web service (legacy), web scraping required for some data	Hourly (observations), real-time (warnings, volcanic activity)	None documented		total	tools/candidates/weather/vedurstofa-iceland.md
372	new	10	air-quality	CETESB São Paulo — Air Quality	Brazil (São Paulo State)	Web portal (Java servlets)	Hourly	Required (registration)	OpenAQ (air quality)	total	tools/candidates/air-quality/cetesb-saopaulo.md
373	new	10	air-quality	Malaysia APIMS/MyEQMS — Air Pollution Index System	Malaysia	Web SPA (Quasar/Vue.js framework); backend API undocumented	Hourly API (Air Pollutant Index updated hourly)	N/A (SPA publicly accessible; API endpoints undocumented)	OpenAQ (air quality)	total	tools/candidates/air-quality/malaysia-apims.md
374	new	10	climate	Copernicus Marine Service Sea Ice Daily Analysis	Arctic, Antarctic, Baltic	ERDDAP, OPeNDAP	Daily (1-day lag)	Free account	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/climate/esa-cmems-seaice-daily.md
375	new	10	disaster-alerts	Civil Defense Directorate - Emergency Alerts and Flood Warnings	Saudi Arabia (KSA)	CAP-XML (Common Alerting Protocol, OASIS/ITU standard)	Real-time (alerts issued as events occur)	Unknown	CAP alerts	actual	tools/candidates/disaster-alerts/sa-civil-defense-alerts.md
376	new	10	disaster-alerts	Maxar Open Data Program	Global (disaster-activated regions)	HTTP/S3 (static file hosting), AWS Open Data Registry	Hours to days after disaster activation (then static archive)	None (public S3 buckets)	GeoJSON REST (poller)	explicit	tools/candidates/disaster-alerts/spaceother-maxar-open-data.md
377	new	10	hydrology	South Africa DWS Hydrological Data Network	South Africa	HTTP (ASP.NET web forms)	Hourly (unverified/preliminary), daily (verified)	None	CAP alerts	explicit	tools/candidates/hydrology/south-africa-dws-rivers.md
378	new	10	hydrology	Spain SAIH (Automatic Hydrological Information Systems)	Spain	Web portals (SPA) — no public REST API found	15 minutes (per SAIH protocol)	N/A (web-only access)	GeoJSON REST (poller)	total	tools/candidates/hydrology/spain-saih.md
379	new	10	hydrology	WMO WHOS (World Hydrological Observing System)	Global (multi-basin)	OpenSearch (XML) / REST	Varies by contributing national service	None (public OpenSearch descriptors)	OGC SensorThings/SOS	total	tools/candidates/hydrology/wmo-whos.md
380	new	10	oceans	Copernicus CMEMS Wave Height Analysis	Global oceans	ERDDAP, OPeNDAP	Daily (1-day lag)	Free account	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/oceans/esa-cmems-waves.md
381	new	10	oceans	Copernicus Marine Service (CMEMS) Ocean Observations	Global oceans	OPeNDAP, ERDDAP, FTP, S3	Daily to hourly depending on product (NRT observations ~3-24 hours latency)	Free account registration required	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/oceans/esa-cmems-insitu-nrt.md
382	new	10	radiation	Belgium FANC Telerad — Automatic Radioactivity Monitoring Network	Belgium	Web portal (VertiGIS Studio / ArcGIS)	Real-time (continuous dose rate monitoring)	None for map viewer	ArcGIS FeatureServer (poller)	total	tools/candidates/radiation/belgium-telerad.md
383	new	10	water-quality	Irish EPA HydroNet — Water Quality Monitoring	Ireland	Web portal; possible WISKI/Kisters backend	Mix of real-time (continuous monitors) and periodic (discrete sampling)	Unknown (likely none for public data)	KiWIS/KISTERS (hydrology)	total	tools/candidates/water-quality/ireland-epa-hydronet.md
384	new	10	agriculture	Africa Soil Information Service (AfSIS) / iSDA	Pan-African (continental soil maps at 30m resolution)	REST	Static (soil properties) but updated periodically with new surveys	API key (free registration)		explicit	tools/candidates/agriculture/isda-africa-soils.md
385	new	10	energy	Global Solar Atlas API — Africa Solar Irradiance	Pan-African	REST	Static (long-term averages); useful as reference data	None (open access)		explicit	tools/candidates/energy/global-solar-atlas-africa.md
386	new	10	energy	India GRID-INDIA (POSOCO) — National Power Grid Real-Time Data	India	Web portals (HTML/JavaScript SPAs)	5-minute to 15-minute SCADA intervals for grid frequency; hourly for generation mix	N/A (no public API discovered)		total	tools/candidates/energy/india-grid-india.md
387	new	10	ev-charging	Chargeprice API	Europe (35+ countries) + expanding globally	REST	Near real-time for pricing; station data refreshed regularly	API Key (commercial, tiered pricing)		total	tools/candidates/ev-charging/chargeprice.md
388	new	10	hydrology	Argentina INA Hydrological Alert System	Argentina	HTTP file server / REST-like directory listing	Daily to sub-daily (varies by product)	None (public directories)		total	tools/candidates/hydrology/argentina-ina.md
389	new	10	hydrology	Google Flood Hub	Global (80+ countries)	Web application (no public API)	Real-time (river forecasts updated continuously)	N/A		total	tools/candidates/hydrology/google-flood-hub.md
390	new	10	hydrology	Hungary OVF Water Level Data (vizugy.hu)	Hungary	HTML / REST (behind auth)	15 minutes to hourly	Bearer token required for data.vizugy.hu API		total	tools/candidates/hydrology/hungary-ovf-vizugy.md
391	new	10	hydrology	ICIMOD — International Centre for Integrated Mountain Development	Hindu Kush-Himalaya (HKH) — Afghanistan, Bangladesh, Bhutan, China, India, Myanmar, Nepal, Pakistan	Web portals	Variable — research publications; some near-real-time fire monitoring	Various (registration for data downloads)		total	tools/candidates/hydrology/icimod-hkh-mountains.md
392	new	10	imagery	CONAE SAOCOM (Argentina L-Band SAR Mission)	Global (Argentina-operated)	FTP, HTTP (catalog search)	Days to weeks (operational mission, but catalog updates lag)	Free registration required		explicit	tools/candidates/imagery/spaceother-conae-saocom-sar.md
393	new	10	imagery	DLR EnMAP (Environmental Mapping and Analysis Program) - Hyperspectral	Global (Germany-operated)	FTP, HTTPS, WCS (OGC)	Weeks to months (tasking-based, not continuous monitoring)	Free registration for science users, commercial licenses for enterprise		explicit	tools/candidates/imagery/spaceother-dlr-enmap-hyperspectral.md
394	new	10	oceans	JAXA G-Portal GCOM-W/AMSR2 Ocean Products	Japan / Global (polar-orbiting)	SFTP download (registration required), CSW catalog search	Near-real-time (NRT) products available within 3 hours of observation	Free registration required (Registered User or Specified User tiers)		explicit	tools/candidates/oceans/jaxa-gcom-w-amsr2.md
395	new	10	power-outages	Eskom Direct Loadshedding Status	South Africa	HTTP GET (returns plain integer)	Real-time	None		total	tools/candidates/power-outages/eskom-loadshedding.md
396	new	10	radiation	Switzerland NADAM (NADos Automatisches Messnetz)	Switzerland	Web portal (JavaScript-rendered); data shared via EURDEP	Continuous (10-minute measurement intervals), daily averages published	None (public portal)		total	tools/candidates/radiation/nadam-switzerland.md
397	new	10	reservoir-dam	India CWC — Reservoir Storage Bulletin	India (130+ major reservoirs across all states)	Web portal with weekly PDF/HTML bulletins	Weekly (Reservoir Storage Bulletin published every Thursday)	None for public bulletin access; API access appears restricted (401 observed)		total	tools/candidates/reservoir-dam/india-cwc.md
398	new	10	reservoir-dam	South Africa DWS — Dam Levels	South Africa (~250 major dams monitored)	Web portal (ASP.NET); no documented REST API	Weekly (some data reported daily via hydrological services)	None for public web access		total	tools/candidates/reservoir-dam/south-africa-dws.md
399	new	10	reservoir-dam	South Africa DWS Dam and River Levels	South Africa (plus Lesotho, Eswatini)	HTTP (ASP.NET web scraping required)	Weekly dam level updates; daily/hourly river flow data available	None		explicit	tools/candidates/reservoir-dam/south-africa-dws-dams.md
400	new	10	seismology	BGS — British Geological Survey Seismology				None. Public RSS feed.		total	tools/candidates/seismology/bgs-uk.md
401	new	10	weather	NASA CYGNSS (Cyclone Global Navigation Satellite System)	Tropical oceans (38°S to 38°N)	HTTPS file download (NetCDF-4)	6–12 hours from observation (NRT Level 1)	Earthdata Login (free registration)		explicit	tools/candidates/weather/nasa-cygnss.md
402	new	10	weather	Saudi National Center for Meteorology (NCM) - Meteomatics API	Saudi Arabia (KSA)	REST (Meteomatics commercial platform)	Hourly+ (PT1H intervals)	API key required		explicit	tools/candidates/weather/sa-ncm-meteomatics.md
403	new	10	wikimedia-osm	Qatar Real Estate Transaction Bulletin (Weekly)	Qatar	OpenDataSoft REST / JSON	Weekly (updated each week with previous week's transactions)	None		explicit	tools/candidates/wikimedia-osm/qa-real-estate-weekly.md
404	new	10	wildfire	INPE Programa Queimadas (Brazil Fire Monitoring Program)	Brazil / South America	Web application with file downloads / WMS	Daily (reference satellite: AQUA afternoon pass)	None (public access)		total	tools/candidates/wildfire/inpe-queimadas-brazil.md
